Player ID,Name,Year,RUNS,Six,Four,BF,Min,Pos,Average of SR,Match COunt,season_yr
59215,A Ashish Reddy,2012,35,1,3,29,28.0,36,130.0,9,2012
59215,A Ashish Reddy,2013,125,4,9,89,134.0,70,128.7,12,2013
59215,A Ashish Reddy,2015,73,5,3,46,66.0,35,164.0,6,2015
59215,A Ashish Reddy,2016,47,4,2,29,34.0,21,135.67,4,2016
102735,A Badoni,2022,161,7,11,130,254.0,63,126.18,13,2022
102735,A Badoni,2023,238,12,13,172,314.0,65,122.42,15,2023
102735,A Badoni,2024,235,5,22,171,262.0,71,114.92,14,2024
102735,A Badoni,2025,329,14,27,222,354.0,56,132.09,14,2025
47324,A Chandila,2012,0,0,0,1,1.0,9,0.0,4,2012
47324,A Chandila,2013,4,0,0,6,15.0,8,67.0,8,2013
7786,A Chopra,2008,42,0,5,52,,14,62.4,5,2007/08
7786,A Chopra,2009,11,0,2,19,,5,58.0,2,2009
66085,A Choudhary,2017,25,1,1,20,30.0,31,164.0,5,2017
68065,A Dananjaya,2018,4,0,0,5,,8,80.0,1,2018
4271,A Flintoff,2009,62,2,5,53,18.0,14,122.33,3,2009
104757,A Kamboj,2024,2,0,0,2,4.0,9,100.0,3,2024
104757,A Kamboj,2025,14,0,2,12,33.0,48,143.4,8,2025
1973,A Kumble,2008,13,0,1,17,,50,85.75,10,2007/08
1973,A Kumble,2009,16,0,2,19,18.0,73,89.5,16,2009
1973,A Kumble,2010,6,0,0,11,,53,66.6,16,2009/10
106837,A Madhwal,2024,4,0,0,5,6.0,11,80.0,5,2024
106837,A Madhwal,2025,4,0,0,9,16.0,11,44.0,4,2025
77887,A Manohar,2022,108,3,14,75,115.0,42,105.0,8,2022
77887,A Manohar,2023,114,7,6,83,116.0,32,131.5,9,2023
77887,A Manohar,2024,9,0,1,16,26.0,9,53.5,2,2024
77887,A Manohar,2025,61,4,2,61,78.0,35,65.0,8,2025
118446,A Mhatre,2025,240,11,31,127,201.0,11,157.0,7,2025
12562,A Mishra,2008,37,0,3,42,,22,72.33,6,2007/08
12562,A Mishra,2009,26,2,2,20,,41,106.0,11,2009
