Player ID,Name,Year,Over,BPO,Mdns,Runs,Wkts,Average of Econ,Count of matches,season_yr
59215,A Ashish Reddy,2012,27.0,,0.0,237.0,11.0,8.85888888888889,9,2012
59215,A Ashish Reddy,2013,6.0,,0.0,70.0,3.0,11.9,12,2013
59215,A Ashish Reddy,2015,6.0,,0.0,50.0,3.0,8.25,6,2015
59215,A Ashish Reddy,2016,4.0,,0.0,39.0,1.0,10.315,4,2016
102735,A Badoni,2022,2.0,,0.0,11.0,2.0,5.5,13,2022
102735,A Badoni,2023,0.0,,0.0,0.0,0.0,0.0,15,2023
102735,A Badoni,2024,2.0,,0.0,25.0,0.0,12.5,14,2024
102735,A Badoni,2025,1.0,,0.0,13.0,2.0,8.75,14,2025
47324,A Chandila,2012,14.0,,0.0,86.0,5.0,6.875,4,2012
47324,A Chandila,2013,25.0,,0.0,156.0,6.0,6.227499999999999,8,2013
7786,A Chopra,2008,,,,,,,5,2007/08
7786,A Chopra,2009,,,,,,,2,2009
66085,A Choudhary,2017,16.0,,2.0,144.0,5.0,8.64,5,2017
68065,A Dananjaya,2018,4.0,,0.0,47.0,0.0,11.75,1,2018
4271,A Flintoff,2009,11.0,,0.0,105.0,2.0,9.053333333333333,3,2009
104757,A Kamboj,2024,10.0,,0.0,114.0,2.0,11.5,3,2024
104757,A Kamboj,2025,21.0,,0.0,172.0,8.0,8.084999999999999,8,2025
1973,A Kumble,2008,38.0,,0.0,304.0,7.0,7.955,10,2007/08
1973,A Kumble,2009,59.0,,1.0,347.0,21.0,5.910625,16,2009
1973,A Kumble,2010,63.0,,0.0,407.0,17.0,6.400625,16,2009/10
106837,A Madhwal,2023,25.0,,0.0,219.0,14.0,8.34375,8,2023
106837,A Madhwal,2024,18.0,,0.0,205.0,5.0,11.47,5,2024
106837,A Madhwal,2025,15.0,,0.0,166.0,4.0,11.415,4,2025
77887,A Manohar,2022,,,,,,,8,2022
77887,A Manohar,2023,,,,,,,9,2023
77887,A Manohar,2024,,,,,,,2,2024
77887,A Manohar,2025,,,,,,,8,2025
118446,A Mhatre,2025,,,,,,,7,2025
12562,A Mishra,2008,20.0,,0.0,138.0,11.0,7.18,6,2007/08
12562,A Mishra,2009,42.0,,1.0,294.0,14.0,7.159090909090909,11,2009
12562,A Mishra,2010,53.0,,0.0,363.0,17.0,6.880714285714285,14,2009/10
12562,A Mishra,2011,53.0,,2.0,358.0,19.0,6.818571428571429,14,2011
12562,A Mishra,2012,47.0,,0.0,377.0,13.0,8.32642857142857,14,2012
12562,A Mishra,2013,62.0,,1.0,394.0,21.0,6.695882352941176,17,2013
12562,A Mishra,2014,37.0,,0.0,340.0,7.0,9.062,10,2014
12562,A Mishra,2015,40.0,,0.0,310.0,9.0,7.835000000000001,12,2015
12562,A Mishra,2016,46.0,,0.0,344.0,13.0,7.248571428571429,14,2016
12562,A Mishra,2017,38.0,,1.0,343.0,10.0,9.45142857142857,14,2017
12562,A Mishra,2018,37.0,,1.0,264.0,12.0,7.141,10,2018
12562,A Mishra,2019,40.0,,0.0,270.0,11.0,6.703636363636364,11,2019
12562,A Mishra,2020,10.0,,0.0,72.0,3.0,7.166666666666667,3,2020/21
12562,A Mishra,2021,14.0,,0.0,109.0,6.0,7.9375,4,2021
12562,A Mishra,2023,19.0,,0.0,149.0,7.0,7.892857142857143,7,2023
12562,A Mishra,2024,2.0,,0.0,20.0,1.0,10.0,1,2024
53314,A Mithun,2009,4.0,,0.0,42.0,0.0,10.5,1,2009
53314,A Mithun,2010,3.0,,0.0,39.0,1.0,13.0,1,2009/10
53314,A Mithun,2011,34.0,,0.0,321.0,5.0,10.150833333333331,12,2011
