ID,Name,Role,Full Name,DOB,Batting Style (s),Bowling Style (s),Batting Style (l),Bowling Style (l),Playing Role
2281,R Dravid,C,Rahul Dravid,11-1-1973,rhb,ob,right-hand bat,right-arm offbreak,top-order batter
45159,Abdur Razzak,P,Abdur Razzak,15-6-1982,lhb,sla,left-hand bat,slow left-arm orthodox,bowler
7474,NC Aiyappa,P,Neravanda Aiyappa,19-10-1979,rhb,rm,right-hand bat,right-arm medium,
7987,B Akhil,P,Balachandra Akhil,7-10-1977,rhb,rmf,right-hand bat,right-arm medium-fast,bowler
50409,KP Appanna,P,KP Appanna,20-12-1988,rhb,sla,right-hand bat,slow left-arm orthodox,bowler
7979,J Arunkumar,P,Jagadeesh Arunkumar,18-1-1975,rhb,ob,right-hand bat,right-arm offbreak,
3947,MV Boucher,WK,Mark Boucher,3-12-1976,rhb,rm,right-hand bat,right-arm medium,wicketkeeper batter
2120,S Chanderpaul,P,Shivnarine Chanderpaul,16-8-1974,lhb,lb,left-hand bat,legbreak,batter
12018,B Chipli,P,Bharat Chipli,27-1-1983,rhb,rm,right-hand bat,right-arm medium,batter
52539,SP Goswami,WK,Shreevats Goswami,18-5-1989,lhb,,left-hand bat,,wicketkeeper batter
7130,W Jaffer,P,Wasim Jaffer,16-2-1978,rhb,ob,right-hand bat,right-arm offbreak,top-order batter
2292,SB Joshi,P,Sunil Joshi,6-6-1970,lhb,sla,left-hand bat,slow left-arm orthodox,allrounder
2232,JH Kallis,P,Jacques Kallis,16-10-1975,rhb,rfm,right-hand bat,right-arm fast-medium,allrounder
7678,Z Khan,P,Zaheer Khan,8-10-1978,rhb,lfm,right-hand bat,left-arm fast-medium,bowler
49752,V Kohli,P,Virat Kohli,5-11-1988,rhb,rm,right-hand bat,right-arm medium,top-order batter
48319,P Kumar,P,Praveen Kumar,2-10-1986,rhb,rm,right-hand bat,right-arm medium,bowler
1973,A Kumble,P,Anil Kumble,17-10-1970,rhb,lbg,right-hand bat,legbreak googly,bowler
19596,Misbah-ul-Haq,P,Misbah-ul-Haq,28-5-1974,rhb,lb,right-hand bat,legbreak,middle-order batter
8244,AA Noffke,P,Ashley Noffke,30-4-1977,rhb,rfm,right-hand bat,right-arm fast-medium,allrounder
10557,DT Patil,P,Devraj Patil,6-12-1984,rhb,,right-hand bat,,
47154,DW Steyn,P,Dale Steyn,27-6-1983,rhb,rf,right-hand bat,right-arm fast,bowler
44930,LRPL Taylor,P,Ross Taylor,8-3-1984,rhb,ob,right-hand bat,right-arm offbreak,middle-order batter
10556,R Vinay Kumar,P,Vinay Kumar,12-2-1984,rhb,rm,right-hand bat,right-arm medium,bowler
12049,CL White,P,Cameron White,18-8-1983,rhb,lbg,right-hand bat,legbreak googly,middle-order batter
7445,NW Bracken,P,Nathan Bracken,12-9-1977,rhb,lfm,right-hand bat,left-arm fast-medium,bowler
7593,MS Dhoni,C,MS Dhoni,7-7-1981,rhb,rm,right-hand bat,right-arm medium,wicketkeeper batter
51453,P Amarnath,P,Palani  Amarnath,1-6-1982,rhb,rm,right-hand bat,right-arm medium,
8814,S Anirudha,P,Srikkanth Anirudha,14-4-1987,rhb,,right-hand bat,,top-order batter
53754,KB Arun Karthik,P,Arun Karthik,15-2-1986,rhb,lbg,right-hand bat,legbreak googly,wicketkeeper batter
12894,R Ashwin,P,Ravichandran Ashwin,17-9-1986,rhb,ob,right-hand bat,right-arm offbreak,bowling allrounder
8821,S Badrinath,P,S Badrinath,30-8-1980,rhb,ob,right-hand bat,right-arm offbreak,middle-order batter
9022,L Balaji,P,Lakshmipathy Balaji,27-9-1981,rhb,rmf,right-hand bat,right-arm medium-fast,bowler
51178,N Einstein,P,Napoleon Einstein,16-8-1989,rhb,ob,right-hand bat,right-arm offbreak,
2121,SP Fleming,P,Stephen Fleming,1-4-1973,lhb,,left-hand bat,,top-order batter
53549,MS Gony,P,Manpreet Gony,4-1-1984,rhb,rm,right-hand bat,right-arm medium,bowler
2119,ML Hayden,P,Matthew Hayden,29-10-1971,lhb,rm,left-hand bat,right-arm medium,opening batter
6256,MEK Hussey,P,Michael Hussey,27-5-1975,lhb,rm,left-hand bat,right-arm medium,middle-order batter
7458,SB Jakati,P,Shadab Jakati,27-11-1980,lhb,sla,left-hand bat,slow left-arm orthodox,bowler
45592,Joginder Sharma,P,Joginder Sharma,23-10-1983,rhb,rfm,right-hand bat,right-arm fast-medium,allrounder
56434,VV Kadbe,P,Viraj Kadbe,18-11-1989,rhb,lb,right-hand bat,legbreak,
48520,CK Kapugedera,P,Chamara Kapugedera,24-2-1987,rhb,rm,right-hand bat,right-arm medium,middle-order batter
53379,SS Kumar,P,Suresh Kumar,20-3-1985,rhb,ob,right-hand bat,right-arm offbreak,
9505,JA Morkel,P,Albie Morkel,10-6-1981,lhb,rmf,left-hand bat,right-arm medium-fast,bowling allrounder
52541,A Mukund,P,Abhinav Mukund,6-1-1990,lhb,lbg,left-hand bat,legbreak googly,top-order batter
2041,M Muralidaran,P,Muthiah Muralidaran,17-4-1972,rhb,ob,right-hand bat,right-arm offbreak,bowler
4073,M Ntini,P,Makhaya Ntini,6-7-1977,rhb,rf,right-hand bat,right-arm fast,bowler
9989,JDP Oram,P,Jacob Oram,28-7-1978,lhb,rfm,left-hand bat,right-arm fast-medium,allrounder
9900,PA Patel,WK,Parthiv Patel,9-3-1985,lhb,ob,left-hand bat,right-arm offbreak,wicketkeeper batter
15716,SK Raina,P,Suresh Raina,27-11-1986,lhb,ob,left-hand bat,right-arm offbreak,middle-order batter
7528,S Vidyut,P,Vidyut Sivaramakrishnan,3-12-1981,lhb,sla,left-hand bat,slow left-arm orthodox,batting allrounder
53581,S Tyagi,P,Sudeep Tyagi,17-9-1987,rhb,rm,right-hand bat,right-arm medium,bowler
3317,VVS Laxman,C,VVS Laxman,1-11-1974,rhb,ob,right-hand bat,right-arm offbreak,top-order batter
8040,SB Bangar,P,Sanjay Bangar,11-10-1972,rhb,rmf,right-hand bat,right-arm medium-fast,
49330,H Das,WK,Halhadar Das,10-12-1986,rhb,,right-hand bat,,
2347,HH Gibbs,P,Herschelle Gibbs,23-2-1974,rhb,rab,right-hand bat,right-arm bowler,opening batter
4176,AC Gilchrist,WK,Adam Gilchrist,14-11-1971,lhb,ob,left-hand bat,right-arm offbreak,wicketkeeper batter
46688,D Kalyankrishna,P,Doddapaneni Kalyankrishna,16-12-1983,rhb,rmf,right-hand bat,right-arm medium-fast,
48431,PP Ojha,P,Pragyan Ojha,5-9-1986,lhb,sla,left-hand bat,slow left-arm orthodox,bowler
49361,DB Ravi Teja,P,Dwaraka Ravi Teja,5-9-1987,rhb,lbg,right-hand bat,legbreak googly,batter
54389,PM Sarvesh Kumar,P,PM Sarvesh Kumar,26-4-1989,rhb,rm,right-hand bat,right-arm medium,
4169,Shahid Afridi,P,Shahid Afridi,1-3-1980,rhb,lbg,right-hand bat,legbreak googly,allrounder
48405,RG Sharma,P,Rohit Sharma,30-4-1987,rhb,ob,right-hand bat,right-arm offbreak,top-order batter
8197,LPC Silva,P,Chamara Silva,14-12-1979,rhb,lb,right-hand bat,legbreak,batter
47123,RP Singh,P,RP Singh,6-12-1985,rhb,lfm,right-hand bat,left-arm fast-medium,bowler
